call_id,caller,callee,start_time,end_time,duration_sec,call_type,cid,lac,sector,imei,imsi,operator,circle,roaming,lat,lon
12,6991681409,8938758483,2025-12-21 16:04:00,2025-12-21 16:04:52,52,MISSED,64961,9441,3,763809194583494,404736566176252,Vi,Delhi,True,27.518557634591907,87.77802414393965
13,9578544903,6147697582,2025-11-30 22:35:00,2025-11-30 22:39:31,271,OUTGOING,68478,8351,2,557546771544269,404344708835235,Jio,Delhi,False,25.319082252806748,86.99306811435903
14,6782698033,8845511527,2025-12-15 21:50:00,2025-12-15 21:55:14,314,INCOMING,67383,4726,3,948812325416325,404229981369449,Airtel,Maharashtra,True,15.397425770852418,70.7096826046331
15,8438254339,6793943861,2025-12-19 05:43:00,2025-12-19 05:46:13,193,INCOMING,82452,7725,3,141630987367102,404626099428057,BSNL,Gujarat,False,14.90919947531361,82.70035310528239
16,7931679275,7697157321,2025-11-29 00:32:00,2025-11-29 00:39:04,424,INCOMING,18389,3095,2,104367814975165,404171130969812,Airtel,Rajasthan,False,14.934472157654941,86.65446971348199
17,7669356239,9209715436,2025-12-20 09:50:00,2025-12-20 09:53:34,214,MISSED,68004,9868,1,981059024159598,404225858376471,BSNL,Rajasthan,False,16.867875887352604,73.250356212292
18,7532243865,7206604539,2025-12-06 22:23:00,2025-12-06 22:24:30,90,OUTGOING,72947,4410,2,830881210589563,404673460307982,BSNL,Delhi,False,20.396102906115807,80.22301414994733
19,6709816108,6320192576,2025-12-21 17:05:00,2025-12-21 17:13:06,486,MISSED,74763,9468,1,310388916674374,404037676504407,Airtel,Rajasthan,False,18.91112029827385,86.47878935658476
20,7696003200,6853477355,2025-12-23 04:47:00,2025-12-23 04:48:57,117,SMS,75277,9266,1,674524914001367,404269790352522,Vi,Gujarat,False,16.659666243168672,70.61102761454438
21,6854021618,9035929168,2025-12-11 17:11:00,2025-12-11 17:20:00,540,MISSED,36680,9544,2,805369905051298,404699097282848,BSNL,Karnataka,True,21.789646315558073,82.55356481044312
22,8602578298,6318019332,2025-12-17 13:47:00,2025-12-17 13:47:22,22,OUTGOING,61329,9664,2,678245871560934,404119671117958,BSNL,Maharashtra,False,14.23190177043267,75.35228213270591
23,9650887880,8677045063,2025-12-24 08:13:00,2025-12-24 08:17:33,273,OUTGOING,78084,5353,3,324438084000815,404263389656791,Jio,Maharashtra,True,16.67431437656349,86.63913151677755
24,8860114724,9133634658,2025-12-12 03:37:00,2025-12-12 03:41:44,284,OUTGOING,38984,2878,3,147098126950362,404148057035712,Vi,Delhi,True,17.861789492699067,87.47904841297662
25,7644658402,6513653348,2025-12-23 06:58:00,2025-12-23 07:01:04,184,MISSED,64419,9734,1,697785201554893,404561613295360,BSNL,Delhi,True,19.297119747472575,86.99679680404181
26,9099804676,8410667225,2025-12-14 05:43:00,2025-12-14 05:43:54,54,MISSED,70378,1437,2,524371849927422,404607711224678,Vi,Rajasthan,False,24.562815382288218,78.53585589983435
27,6173660954,8245120392,2025-11-20 19:12:00,2025-11-20 19:16:55,295,MISSED,81845,8806,2,663836552958990,404382361263657,Vi,Karnataka,False,15.194780514533756,85.51676771780764
28,7886935931,6463390156,2025-11-24 10:05:00,2025-11-24 10:12:42,462,INCOMING,17671,4066,2,314815522671334,404566538684125,Airtel,Gujarat,False,20.227751014617787,85.20188917363127
29,6598424036,7070701974,2025-11-30 10:52:00,2025-11-30 10:58:45,405,INCOMING,14145,1257,2,971802814257900,404613130423466,Airtel,Maharashtra,False,21.47863310179268,75.7438085183786
30,6872141340,6982680611,2025-11-27 00:15:00,2025-11-27 00:24:01,541,OUTGOING,29115,5101,3,902695358510239,404301892183738,Jio,Gujarat,True,12.743206603519964,84.92047853471219
31,8984078578,6692440149,2025-12-23 18:43:00,2025-12-23 18:48:14,314,OUTGOING,30611,1085,2,758727422175809,404729320323628,Vi,Maharashtra,True,21.720717630423014,70.66613742487887
32,7269737021,8720448440,2025-12-16 12:05:00,2025-12-16 12:08:22,202,OUTGOING,34409,5166,1,570543179975301,404119415862299,Jio,Gujarat,False,14.728385978996664,80.73285781267695
33,6938194539,6801312299,2025-11-23 18:43:00,2025-11-23 18:46:43,223,SMS,50923,6065,1,211410990202653,404814065276234,BSNL,Delhi,False,13.040825487764472,74.14015907117866
34,7393051263,9467929081,2025-12-22 10:39:00,2025-12-22 10:43:19,259,SMS,85549,6581,3,425416340831579,404929078750438,Jio,Gujarat,False,27.18216859605333,72.17020394399101
35,9894798525,6472669408,2025-12-24 09:37:00,2025-12-24 09:45:53,533,MISSED,93569,4994,2,792143548659064,404113503563709,Vi,Karnataka,False,27.45011252919295,71.38515762932576
36,6002235000,9513346675,2025-11-23 22:49:00,2025-11-23 22:53:18,258,SMS,76629,6153,3,649536172398312,404008619793766,Airtel,Rajasthan,True,24.93435756986338,82.53319796580652
37,6707191493,8193642951,2025-11-26 21:22:00,2025-11-26 21:23:48,108,MISSED,37875,7625,2,686702915334792,404262946950820,BSNL,Maharashtra,False,16.87382030677393,76.1177493478252
38,8973990112,6514817842,2025-12-19 18:59:00,2025-12-19 19:08:38,578,SMS,80056,3113,1,158176782070443,404652589828046,BSNL,Karnataka,False,13.562753824102142,83.04580188751771
39,6722804538,7388146037,2025-12-06 23:47:00,2025-12-06 23:47:57,57,SMS,87573,3384,1,362368895399519,404926437412072,Vi,Rajasthan,False,22.94772842419451,71.17641413438096
40,7734463155,7561777264,2025-12-22 07:55:00,2025-12-22 08:02:38,458,SMS,91742,5622,2,319068980704752,404798702629427,Airtel,Gujarat,True,19.04243989983362,75.67522608095099
41,7060324619,7081396733,2025-11-23 14:13:00,2025-11-23 14:13:09,9,MISSED,28200,9083,3,380540809506177,404559638010992,Airtel,Rajasthan,False,13.952611757516461,79.71084326275607
42,6636028516,7223380592,2025-12-01 14:48:00,2025-12-01 14:56:13,493,MISSED,58313,7854,2,584725935158837,404370563964900,Jio,Maharashtra,True,19.922830561780323,84.23301696710135
43,7482069727,9900972256,2025-11-25 22:02:00,2025-11-25 22:04:48,168,SMS,34849,4673,1,339144807951762,404537493230721,BSNL,Maharashtra,True,12.550216337843494,75.73754505277726
44,8280346676,8102183595,2025-12-17 20:53:00,2025-12-17 20:56:57,237,OUTGOING,63743,5040,1,639696938849951,404847148176799,Jio,Maharashtra,True,26.54912643326051,81.26604477586616
45,8545613046,8886800195,2025-12-13 10:01:00,2025-12-13 10:05:33,273,MISSED,51440,4542,2,889134792294602,404786999660666,BSNL,Karnataka,True,16.14047970560027,85.94759946825137
46,7040069008,9127665406,2025-12-07 15:17:00,2025-12-07 15:23:51,411,SMS,44552,2066,2,822539632855319,404294773508979,BSNL,Delhi,False,22.60035654966371,81.08553738728148
47,8720989381,7712937941,2025-12-17 06:28:00,2025-12-17 06:34:49,409,SMS,26793,1211,3,249030281784830,404412964187336,Jio,Rajasthan,False,16.987377217430577,74.19327054556541
48,7377739899,8182697146,2025-12-22 03:33:00,2025-12-22 03:37:36,276,MISSED,41058,4152,1,167469032908546,404632760175355,Airtel,Gujarat,False,20.321088338844973,70.43921406801769
49,8910116794,6945928099,2025-12-21 13:29:00,2025-12-21 13:37:32,512,INCOMING,57736,6085,2,972542840415577,404836700435966,Jio,Maharashtra,False,20.747364469492474,85.66177973021674
50,6972791954,7497509011,2025-12-16 07:26:00,2025-12-16 07:29:15,195,MISSED,66742,4788,3,675453016295110,404223082848744,Jio,Gujarat,False,14.957671288408433,70.38284939530696
51,8967554976,7707558823,2025-12-10 18:19:00,2025-12-10 18:24:13,313,MISSED,24684,8248,2,406211917093414,404351490288487,Vi,Karnataka,True,27.513354044232937,85.74463010831559
52,6590647936,8902066954,2025-12-06 18:28:00,2025-12-06 18:29:29,89,SMS,35654,2653,1,135028616028088,404928610891697,BSNL,Rajasthan,False,24.402125173777833,79.52086841248982
53,9971528854,8325501342,2025-12-23 20:34:00,2025-12-23 20:34:59,59,MISSED,92988,9508,3,469288571448617,404421888409862,BSNL,Karnataka,True,27.031983065027028,86.90321857323212
54,8834609915,6751425679,2025-12-10 18:35:00,2025-12-10 18:42:50,470,MISSED,75378,9289,2,514902354141807,404254523323248,Jio,Maharashtra,False,26.317237606842383,84.37809824392598
55,7038747649,6399873327,2025-11-26 02:26:00,2025-11-26 02:30:03,243,MISSED,49372,7830,3,584875596459659,404845680856100,Jio,Maharashtra,True,21.56639966097736,87.96281398960008
56,9790894239,8719150074,2025-12-19 11:48:00,2025-12-19 11:50:39,159,INCOMING,25613,4340,3,975169762158600,404997932256354,Jio,Maharashtra,True,26.74998776036987,76.31281267813078
57,9008013970,9117955887,2025-12-02 09:02:00,2025-12-02 09:08:48,408,SMS,26255,9361,3,883745190265986,404635170199703,Jio,Delhi,True,13.415880032830712,83.80938920076028
58,7737349173,9349539959,2025-11-23 20:24:00,2025-11-23 20:24:57,57,MISSED,73523,4390,3,353577626660759,404494282617418,Vi,Delhi,True,15.135725798706323,77.23475644496637
59,6694190023,9373012387,2025-12-12 21:30:00,2025-12-12 21:31:52,112,SMS,58565,6257,1,926092208775421,404972261551215,Airtel,Gujarat,False,12.723636622568609,78.63776116547035
60,6435816957,8849718370,2025-11-26 21:40:00,2025-11-26 21:40:23,23,SMS,95008,1681,1,672398903211868,404623460923263,BSNL,Rajasthan,True,17.20528529221223,81.29509833793065
61,7311527789,8356793681,2025-12-21 07:06:00,2025-12-21 07:12:28,388,SMS,72212,9591,3,432884411943733,404698584854223,Jio,Karnataka,False,18.218836635031714,85.7261880553541
62,6963229352,6755593187,2025-12-01 16:03:00,2025-12-01 16:06:18,198,INCOMING,21491,1843,2,487715365377603,404139560210829,Vi,Maharashtra,False,16.341584508382333,87.71350244558731
63,7397581076,6768037679,2025-12-14 09:27:00,2025-12-14 09:31:41,281,SMS,97796,4513,3,680075562001911,404548657034631,Airtel,Karnataka,False,25.25980014643087,83.82892144956134
64,9647386758,9096413378,2025-11-23 19:23:00,2025-11-23 19:27:36,276,INCOMING,37795,3734,2,471155216962175,404139769146031,Airtel,Delhi,True,17.70805322709743,77.51980207901201
65,6402330059,8185339834,2025-11-29 23:37:00,2025-11-29 23:39:26,146,SMS,52333,5847,2,838264661537237,404507881866261,Airtel,Karnataka,True,16.494952154998092,77.58442604098727
66,7047927533,8533475997,2025-11-22 00:44:00,2025-11-22 00:47:41,221,MISSED,10292,8444,3,677709551591986,404781280745223,Airtel,Delhi,True,20.683137330531977,83.27648142860005
67,8710719770,7865709594,2025-12-18 19:08:00,2025-12-18 19:14:23,383,OUTGOING,22117,3372,1,312074103749908,404127324749408,BSNL,Maharashtra,False,14.254787599596202,74.29798862382944
68,8477783323,8873006958,2025-11-23 19:56:00,2025-11-23 20:04:51,531,OUTGOING,16393,6153,2,561519422363104,404842802228219,BSNL,Delhi,False,24.835151692064635,71.98853403636511
69,9102908220,8144019247,2025-12-15 21:56:00,2025-12-15 22:01:15,315,SMS,44969,1961,3,296342591708675,404149329802431,BSNL,Maharashtra,True,13.192810298876333,76.38319883753398
70,8772282416,6187276799,2025-11-27 01:06:00,2025-11-27 01:12:53,413,INCOMING,50259,2821,1,979682293259435,404942616234141,BSNL,Rajasthan,False,27.790190985608277,75.17030184977347
71,7200702509,9929312628,2025-12-16 07:54:00,2025-12-16 07:55:27,87,MISSED,31372,2571,2,286940041377890,404528347363048,Jio,Delhi,False,24.35591630874652,75.33354616820782
72,9987097879,7420561756,2025-12-07 19:36:00,2025-12-07 19:41:54,354,SMS,11886,4299,1,515549049930029,404775552090718,Airtel,Gujarat,True,15.179450904546758,74.20493951889839
73,9663647712,6323609715,2025-12-22 20:22:00,2025-12-22 20:22:16,16,INCOMING,46089,6310,3,382292333455612,404911353023391,Vi,Gujarat,False,12.088353873977638,70.75767741345452
74,9655604182,7153090720,2025-12-09 23:40:00,2025-12-09 23:45:10,310,INCOMING,51292,3427,2,606872649698626,404547061524497,BSNL,Delhi,False,25.04738285527735,70.32173082520144
75,8391443224,7695186921,2025-11-30 19:53:00,2025-11-30 19:54:13,73,MISSED,75759,8569,3,946872760915266,404442684066477,BSNL,Rajasthan,True,23.309717501561874,87.77900301524856
76,6417369879,6897299057,2025-12-12 22:01:00,2025-12-12 22:10:30,570,MISSED,97922,5660,2,413496840441774,404366612596374,Airtel,Karnataka,True,23.664114688655797,77.69991640724552
77,6601656257,7091624574,2025-12-22 02:30:00,2025-12-22 02:30:15,15,INCOMING,81294,9009,3,452506414115305,404555436126169,Vi,Karnataka,False,24.34032554697513,76.91787964887428
78,9181576976,9645008999,2025-12-22 05:55:00,2025-12-22 06:00:46,346,SMS,62601,9715,3,662033875169525,404753993620518,Jio,Gujarat,False,13.184714427745446,82.23365108847526
79,7260967388,7273501353,2025-12-15 08:29:00,2025-12-15 08:31:37,157,OUTGOING,46973,3375,3,745372178776601,404422007195441,Airtel,Delhi,False,17.735451656708364,73.92856998157116
80,9724047256,8626431383,2025-12-18 03:13:00,2025-12-18 03:18:52,352,OUTGOING,53511,3143,2,700385238817595,404243214954531,Vi,Karnataka,True,13.853904952402075,87.09930131110406
81,9428651692,6834400275,2025-12-09 04:02:00,2025-12-09 04:07:26,326,MISSED,96899,1554,3,110170787245831,404614398372493,BSNL,Delhi,False,25.809654814009498,84.15421025947994
82,9822543819,9807991666,2025-12-01 04:54:00,2025-12-01 05:03:23,563,SMS,42096,4044,1,902463218263182,404393328229729,BSNL,Maharashtra,True,21.972770029240927,71.60939804162066
83,6403649345,7883232031,2025-12-13 10:25:00,2025-12-13 10:26:11,71,MISSED,46512,1893,3,710051451119550,404366481625138,Vi,Delhi,True,17.294368397642387,77.51645396412871
84,7999728280,6665898681,2025-12-04 03:11:00,2025-12-04 03:13:30,150,SMS,77799,7492,2,876525714156733,404536179136661,Airtel,Karnataka,True,13.016933604576378,85.82412953611896
85,8537609529,9695409721,2025-12-12 21:13:00,2025-12-12 21:20:44,464,OUTGOING,26718,2113,3,906308170201392,404768965939881,Vi,Maharashtra,True,16.975717147450595,87.0051764012454
86,9533042501,7302515470,2025-12-10 07:27:00,2025-12-10 07:29:59,179,OUTGOING,37640,1726,2,509248265550826,404804561840740,Jio,Rajasthan,True,17.202933152427953,78.41322720249765
87,8243017696,9555670279,2025-12-23 18:45:00,2025-12-23 18:50:47,347,INCOMING,63175,1264,3,746737341699643,404019143808102,BSNL,Gujarat,True,23.673698853409025,81.04140500579274
88,6366564547,9616461573,2025-11-20 02:54:00,2025-11-20 02:54:59,59,OUTGOING,38978,4649,3,948188156339167,404495687990621,Jio,Rajasthan,False,22.20091954168341,73.00661102965735
89,8322010158,9004382050,2025-11-26 17:47:00,2025-11-26 17:55:48,528,OUTGOING,82777,5890,3,833606778182567,404219613469327,BSNL,Gujarat,False,26.195403881221225,87.84103527046558
90,8217493115,9069162601,2025-11-25 15:15:00,2025-11-25 15:15:51,51,SMS,62529,2100,2,459115276904082,404620188213367,BSNL,Rajasthan,False,19.55543880259119,74.17009062490197
91,7163215678,7861957394,2025-12-06 14:52:00,2025-12-06 14:56:12,252,INCOMING,48584,7670,2,221340316718137,404782761485657,Jio,Rajasthan,False,13.913507935012827,86.96917193443227
92,6108880612,6791707097,2025-12-05 15:45:00,2025-12-05 15:46:05,65,OUTGOING,66688,2805,3,135682935641917,404096328877182,Vi,Delhi,True,23.41191659556792,81.69363968186263
93,8989186440,8957084555,2025-12-20 19:23:00,2025-12-20 19:30:31,451,INCOMING,73042,1189,2,421006105642624,404248743948921,BSNL,Gujarat,False,24.17256077787036,80.93926230781946
94,6671891968,7899888366,2025-12-24 06:42:00,2025-12-24 06:44:29,149,OUTGOING,60214,7611,2,696472576349301,404202648866392,Airtel,Gujarat,True,20.98043516111194,79.22839319829716
95,8835526119,7202306932,2025-11-28 07:12:00,2025-11-28 07:14:26,146,INCOMING,78921,7770,1,578841415011599,404810623094758,BSNL,Karnataka,False,24.335474879272976,74.15205661091966
96,8822271679,8380932542,2025-12-20 16:51:00,2025-12-20 17:00:19,559,MISSED,32777,4908,2,172862452529941,404396939159798,Vi,Gujarat,True,19.900729541830252,73.17750457609915
97,6204939202,7063996491,2025-11-20 09:21:00,2025-11-20 09:23:48,168,INCOMING,21797,5195,3,396536386974692,404365134039736,Jio,Karnataka,False,20.363725270111907,73.96875176326316
98,7468362012,6498528205,2025-11-21 09:15:00,,0,SMS,43175,3719,1,140523214017604,404197743424496,BSNL,Maharashtra,True,18.840656293736792,73.35588871859659
99,7337509981,9674175213,2025-12-04 18:23:00,2025-12-04 18:30:27,447,OUTGOING,15047,3484,1,438364840733683,404843850151115,Airtel,Gujarat,True,12.406706027905523,84.03252052420156
100,6073706383,6420194521,2025-12-15 08:39:00,2025-12-15 08:40:07,67,INCOMING,67118,3167,3,620431810736678,404425945658656,Vi,Maharashtra,False,13.726262831892871,76.30225466500114
101,7995758845,7863378653,2025-12-16 03:41:00,2025-12-16 03:47:50,410,INCOMING,79357,1156,2,547473812789769,404425396341537,Airtel,Delhi,False,12.502866970987748,71.04116817814113
102,7120529587,7608948958,2025-12-10 16:02:00,2025-12-10 16:03:03,63,MISSED,14110,4789,3,943916517071609,404629226179001,BSNL,Rajasthan,True,22.182566580220488,87.44384734253461
103,8151949919,9678595840,2025-12-19 18:35:00,2025-12-19 18:40:48,348,SMS,51578,3249,2,280284081317188,404064727599895,BSNL,Delhi,False,17.02969569722123,85.90814592934166
104,8759169782,6113865200,2025-12-22 14:37:00,2025-12-22 14:44:06,426,OUTGOING,38607,2459,2,310949834630015,404686938058202,Airtel,Gujarat,False,20.137131058635244,86.69954109751383
105,9440051027,8471642775,2025-12-01 19:41:00,2025-12-01 19:48:50,470,MISSED,30307,2034,3,917535807068849,404698547603835,Airtel,Gujarat,True,26.52106358281749,87.90834080763584
106,6551904800,7968181152,2025-12-10 22:30:00,2025-12-10 22:36:04,364,OUTGOING,66733,2562,1,966125448317618,404734188000868,Vi,Karnataka,True,15.988675666381999,73.13011448595077
107,8688390411,7658298178,2025-12-11 23:08:00,2025-12-11 23:12:13,253,OUTGOING,99619,7955,2,456422996942379,404120556988812,Jio,Gujarat,False,18.566126768570076,77.13235634024785
108,6921653259,6432838238,2025-12-17 11:56:00,2025-12-17 12:04:13,493,SMS,68133,7727,1,114487002951553,404919428754256,Vi,Gujarat,False,24.08881821668878,83.64829256267365
109,8816307289,7369989895,2025-11-25 21:23:00,2025-11-25 21:32:27,567,OUTGOING,63867,2145,2,480829788913561,404863388378713,Airtel,Gujarat,False,15.66077064786596,82.52837112496826
110,7462971389,9498115489,2025-11-29 20:50:00,2025-11-29 20:52:33,153,INCOMING,46684,1856,2,346781441450600,404576033131715,Jio,Maharashtra,False,13.231678557260688,72.77012631411739
111,8975941433,8992463348,2025-11-21 01:45:00,2025-11-21 01:54:15,555,MISSED,27010,4659,1,265414776759788,404321596293532,BSNL,Maharashtra,True,16.63602324662029,84.68499624983112
112,6168303991,9157106083,2025-11-23 13:33:00,2025-11-23 13:33:33,33,INCOMING,46748,8723,3,806817628892436,404700841766281,BSNL,Gujarat,True,14.57954059606407,74.0399302930599
113,7818793828,9223865800,2025-11-25 06:21:00,2025-11-25 06:21:53,53,OUTGOING,71812,1619,3,816434075072703,404974916796080,BSNL,Maharashtra,False,26.87516243748117,74.02871706680722
114,9142403170,7772179439,2025-12-02 13:58:00,2025-12-02 14:02:52,292,SMS,46922,8479,1,177117735605201,404409485633175,Vi,Rajasthan,False,24.92992607303067,79.66553961208145
115,9724237462,9997572285,2025-11-28 08:47:00,2025-11-28 08:51:39,279,INCOMING,83450,6328,2,802449883082788,404049087155568,BSNL,Rajasthan,False,22.134460104166777,80.67291882715065
116,8919911094,9224966668,2025-11-20 05:27:00,2025-11-20 05:33:17,377,INCOMING,36782,4651,3,848865148532952,404421349708648,Jio,Karnataka,True,25.943369443003483,80.4415517410806
117,7622333213,9876435216,2025-12-21 03:24:00,2025-12-21 03:27:06,186,INCOMING,34350,9187,2,574372717951037,404360031893359,Jio,Rajasthan,False,24.85875323038583,71.64676307315959
118,7673396952,7374602581,2025-12-23 08:11:00,2025-12-23 08:13:01,121,INCOMING,17874,1093,3,611878048580282,404078981019824,BSNL,Gujarat,False,14.985120942176573,85.79429552734685
119,6229717603,6046547339,2025-12-22 18:55:00,2025-12-22 19:03:38,518,SMS,73972,9037,1,937539691175144,404627457298507,Jio,Karnataka,False,26.280943975839644,74.78080076659671
120,7524306184,7371441606,2025-11-22 13:38:00,2025-11-22 13:38:53,53,MISSED,41311,5302,1,354107230618317,404957565566335,Airtel,Delhi,False,20.62947587065041,72.33126858309048
121,8072411699,8462896978,2025-11-25 06:05:00,2025-11-25 06:12:18,438,OUTGOING,25107,5414,1,924606369781102,404616106382196,Jio,Delhi,False,24.919042482625002,85.9974654376416
122,6393866308,7259330658,2025-12-03 20:28:00,2025-12-03 20:37:16,556,OUTGOING,18034,2780,1,541502574795800,404771687590778,BSNL,Rajasthan,False,26.337460798775894,87.20172696813556
123,6913659348,9231423971,2025-12-10 20:57:00,2025-12-10 20:57:59,59,INCOMING,34959,8857,2,608201110138006,404617571707448,Jio,Delhi,True,17.088055599549822,85.51829711077811
124,6487326758,6391727212,2025-12-12 15:41:00,2025-12-12 15:43:17,137,OUTGOING,46307,8120,1,485604287353897,404794816162726,Vi,Delhi,False,13.760830792442828,84.5712893450478
125,8360208606,6239964793,2025-12-13 15:42:00,2025-12-13 15:51:26,566,SMS,38123,6331,2,140152519826594,404921467691740,Jio,Delhi,True,15.646962600671067,81.79435565150239
126,7507168490,9031523146,2025-12-18 21:25:00,2025-12-18 21:34:45,585,INCOMING,73688,3445,1,129214232908526,404325077613576,Vi,Delhi,True,18.8337246180201,79.9154326709645
127,9270663241,9594732473,2025-12-08 22:36:00,2025-12-08 22:43:15,435,MISSED,24177,3018,2,993889374760165,404027599852717,Airtel,Rajasthan,False,25.08823625475989,71.56576167840538
128,9010639500,6955958439,2025-12-02 04:52:00,2025-12-02 05:00:39,519,OUTGOING,34656,4262,3,267853320500616,404764039879450,Jio,Karnataka,False,25.771689332101495,77.35215783527258
129,9033287289,6629662913,2025-11-29 15:22:00,2025-11-29 15:31:56,596,OUTGOING,82850,5836,2,215803404922503,404278659024213,Vi,Delhi,True,12.111234088499051,76.70839330622165
130,9490947571,7016555152,2025-11-22 10:15:00,2025-11-22 10:24:24,564,MISSED,70485,5236,1,911434889878854,404930255078700,Airtel,Delhi,False,20.17195684124105,74.67556810768588
131,9235734659,7504175907,2025-12-24 06:41:00,2025-12-24 06:48:04,424,OUTGOING,54177,7644,2,817180975668475,404680673576722,Jio,Maharashtra,True,18.678576050380464,83.02156204639454
132,9337820604,7623444331,2025-12-18 02:51:00,2025-12-18 02:54:05,185,OUTGOING,96027,3321,3,610561010606793,404383670513170,Vi,Delhi,False,15.553724967531684,78.92576323141787
133,6477589542,7865956477,2025-12-01 04:36:00,2025-12-01 04:39:46,226,OUTGOING,85367,6514,2,291049824817324,404603035751153,Vi,Delhi,False,13.917845877338925,71.45883188633766
134,8012882139,8454457981,2025-11-29 12:38:00,2025-11-29 12:40:23,143,INCOMING,99753,3622,1,632411623437971,404943892914631,Airtel,Maharashtra,True,17.401842742458047,73.96329763509661
135,6504771388,9533857662,2025-12-04 10:37:00,2025-12-04 10:44:39,459,OUTGOING,60374,2360,3,844819244967846,404002925042050,Airtel,Maharashtra,False,27.086555262600307,82.29865774587273
136,8505549772,7020082523,2025-11-22 19:17:00,2025-11-22 19:25:40,520,SMS,46862,9911,3,364696258429432,404818095556091,Vi,Rajasthan,True,17.171246912332084,71.3703554708254
137,7227124080,6356015512,2025-11-23 06:15:00,2025-11-23 06:24:15,555,MISSED,77109,1347,2,244274515772320,404710543651956,Vi,Karnataka,True,20.30064994789386,85.32172445287783
138,9445033017,6052203051,2025-11-30 04:01:00,2025-11-30 04:06:35,335,OUTGOING,11629,9666,3,760445896410940,404201395926164,Airtel,Rajasthan,True,23.248303342322846,78.91263748625154
139,6186404943,8266458997,2025-12-18 04:52:00,2025-12-18 04:59:28,448,INCOMING,78248,3479,2,501137030328522,404702458455266,BSNL,Rajasthan,False,17.818073638068704,78.65055839187966
140,8986768018,6323988920,2025-12-12 22:52:00,2025-12-12 23:01:51,591,MISSED,54057,5135,1,589906158508078,404997363600688,Vi,Rajasthan,False,27.54851332353537,80.66334012387132
141,8988217869,7264841870,2025-12-11 20:18:00,2025-12-11 20:23:30,330,OUTGOING,93553,7243,1,326082765590016,404501209476661,Jio,Gujarat,False,27.39915671907378,84.84425738665269
142,8509610869,7650134274,2025-12-22 20:17:00,2025-12-22 20:22:55,355,MISSED,15633,4810,1,744931160023510,404794204969930,Vi,Gujarat,True,16.028516733205826,76.26056574223948
143,7206727691,6248523535,2025-12-13 05:55:00,2025-12-13 05:55:15,15,MISSED,54539,5995,2,192115858055525,404872336874903,Airtel,Gujarat,False,19.955976094278167,82.20429074606315
144,8663449243,7441649012,2025-12-20 07:23:00,2025-12-20 07:27:39,279,INCOMING,95026,7181,1,790524095784057,404393620216483,Airtel,Rajasthan,False,16.814052957068313,80.18317535192423
145,7991569497,7667600007,2025-12-18 04:50:00,2025-12-18 04:53:01,181,MISSED,66775,4918,1,463634391358779,404761351406107,Jio,Maharashtra,True,16.557447910039482,74.80650886304959
146,6333867739,7547670372,2025-12-22 23:30:00,2025-12-22 23:35:22,322,INCOMING,71846,9918,1,645530682544867,404822285408154,Jio,Delhi,False,12.590191157672525,85.81533975439284
147,8998581749,6138795966,2025-12-21 05:08:00,2025-12-21 05:13:30,330,MISSED,85678,5266,1,553618467509448,404688960886772,Vi,Gujarat,False,21.75302934367835,84.3536683889247
